Thu Nov 03 20:03:53 EDT 2016 ----------------------------------------- 
20,3239.5
21,1183.5
22,3195.0
23,2449.0
24,4026.5
MaxFitness: 4026.5Fri Nov 04 12:55:41 EDT 2016 ----------------------------------------- 
0,23.0
1,134.0
2,133.0
3,134.0
4,133.0
5,134.0
6,131.5
7,134.0
8,195.5
9,133.0
10,341.5
11,195.5
12,195.5
13,253.5
14,131.5
15,459.5
16,337.0
17,197.5
18,207.0
19,261.5
20,392.5
21,457.0
22,604.0
23,465.0
24,202.0
MaxFitness: 604.0Fri Nov 04 12:58:52 EDT 2016 ----------------------------------------- 
0,131.5
1,129.0
2,131.5
3,133.0
4,134.0
5,134.0
6,133.0
7,132.0
8,190.5
9,134.0
10,193.0
11,132.0
12,134.0
13,258.0
14,187.0
15,270.5
16,251.5
17,475.0
18,189.5
19,135.5
20,202.0
21,268.5
22,547.0
23,202.0
24,199.5
MaxFitness: 547.0Fri Nov 04 13:01:35 EDT 2016 ----------------------------------------- 
0,184.0
1,129.0
2,198.0
3,356.0
4,133.0
5,392.0
6,145.5
7,143.5
8,199.0
9,198.5
10,195.0
11,329.5
12,257.0
13,258.0
14,190.0
15,184.0
16,198.5
17,184.0
18,259.0
19,268.0
20,198.5
21,275.0
22,197.0
23,198.5
24,198.5
MaxFitness: 392.0Fri Nov 04 13:04:28 EDT 2016 ----------------------------------------- 
0,131.5
1,132.5
2,131.5
3,130.0
4,177.0
5,177.0
6,135.5
7,138.5
8,3079.5
9,2929.5
10,3484.0
11,3234.5
12,3345.0
13,2935.5
14,2956.5
15,2256.5
16,2721.0
17,2975.0
18,2660.5
19,3315.0
20,2782.5
21,2955.5
22,3244.5
23,3533.5
24,2901.5
MaxFitness: 3533.5Fri Nov 04 14:11:37 EDT 2016 ----------------------------------------- 
0,136.0
1,137.0
2,134.0
3,199.5
4,177.0
5,136.0
6,246.5
7,199.5
8,134.0
9,135.0
10,369.5
11,206.0
12,586.5
13,482.0
14,270.5
15,265.5
16,192.5
17,267.0
18,2805.5
Sat Nov 05 21:10:15 EDT 2016 ----------------------------------------- 
0,134.0
1,136.0
2,134.0
3,192.5
4,134.0
5,134.0
6,142.5
7,262.5
8,576.5
9,384.5
10,452.0
11,531.5
12,150.0
13,330.5
14,842.5
15,526.5
16,648.0
17,494.5
18,134.0
19,964.5
20,1253.0
21,278.5
22,1016.0
23,825.0
24,402.0
MaxFitness: 1253.0Sat Nov 05 21:16:34 EDT 2016 ----------------------------------------- 
0,86.5
Sat Nov 05 21:18:34 EDT 2016 ----------------------------------------- 
0,76.0
1,200.5
2,131.5
3,131.5
4,178.0
5,266.5
6,195.5
7,177.0
8,151.0
9,199.0
10,268.0
11,199.0
12,196.5
13,195.5
14,269.0
15,204.5
16,264.5
17,206.5
18,201.0
19,133.0
20,199.5
21,179.5
22,252.0
23,318.0
24,197.0
25,205.0
26,200.5
Sat Nov 05 21:21:37 EDT 2016 ----------------------------------------- 
0,23.0
1,447.5
2,905.5
3,385.5
4,657.5
5,269.5
6,853.5
7,582.5
8,232.5
9,453.0
10,337.5
11,267.5
12,620.0
13,310.5
14,632.5
15,156.0
16,216.0
17,212.5
18,209.5
19,202.0
20,195.0
21,207.0
22,213.0
23,148.0
24,195.5
MaxFitness: 905.5Sat Nov 05 21:26:33 EDT 2016 ----------------------------------------- 
0,177.0
1,134.5
2,210.5
3,920.0
4,764.0
5,1660.5
6,878.5
7,287.5
8,2646.0
9,917.0
10,2991.5
11,1086.5
12,514.0
13,290.0
14,209.5
15,2151.0
16,1364.0
17,1601.5
18,2315.0
19,1286.0
20,1576.5
21,1773.0
22,484.5
23,1104.0
24,1954.0
MaxFitness: 2991.5Sat Nov 05 21:45:14 EDT 2016 ----------------------------------------- 
0,23.0
1,23.0
2,188.5
3,210.0
4,213.5
5,197.0
6,206.0
7,268.5
8,264.0
9,134.0
10,201.0
11,262.0
12,258.5
13,142.5
14,201.0
15,267.0
16,406.0
17,266.5
18,203.5
19,231.0
20,368.0
21,210.5
22,395.5
23,375.5
24,259.5
MaxFitness: 406.0Sat Nov 05 21:48:31 EDT 2016 ----------------------------------------- 
0,119.5
1,197.5
2,201.5
3,1386.5
4,751.5
5,951.0
6,1725.5
7,1824.5
8,1551.0
9,1858.5
10,1886.0
11,1977.5
12,2189.0
13,1305.5
14,2343.0
15,1052.0
16,1456.0
17,1549.0
18,1008.0
19,1504.5
20,2548.5
21,2400.5
22,2343.5
23,447.0
24,2339.0
MaxFitness: 2548.5Sat Nov 05 22:11:14 EDT 2016 ----------------------------------------- 
0,150.0
1,251.0
2,188.5
3,187.0
4,188.5
5,192.0
6,212.0
7,269.5
8,169.5
9,193.0
10,195.0
11,195.0
12,275.5
13,3007.0
14,3224.5
15,2890.0
16,2529.5
17,2732.0
18,2755.5
19,3018.5
20,2666.0
21,2394.5
22,2593.5
23,2905.0
24,2680.0
